season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type
2011/12,15,Bnei Yehuda,B. Jerusalem,3:0,3,11,12,Bottom,Bottom,Bottom vs Bottom
2011/12,16,Bnei Yehuda,Hapoel Acre,4:1,3,10,4,Middle,Top,Middle vs Top
2011/12,19,Hapoel Haifa,B. Jerusalem,3:0,3,14,13,Bottom,Bottom,Bottom vs Bottom
2011/12,20,Bnei Yehuda,H. Petah Tikva,5:1,4,9,16,Middle,Bottom,Bottom vs Middle
2011/12,21,M. Tel Aviv,H. Beer Sheva,4:0,4,5,12,Middle,Bottom,Bottom vs Middle
2011/12,21,Hapoel Haifa,Hapoel Tel Aviv,3:0,3,14,3,Bottom,Top,Bottom vs Top
2011/12,22,Hapoel Tel Aviv,Maccabi Netanya,7:3,4,3,8,Top,Middle,Middle vs Top
2011/12,22,Kiryat Shmona,Ramat haSharon,4:0,4,1,6,Top,Middle,Middle vs Top
2011/12,24,B. Jerusalem,Bnei Sakhnin,0:3,3,12,4,Bottom,Top,Bottom vs Top
2011/12,25,Maccabi Haifa,M. Petah Tikva,4:1,3,8,11,Middle,Bottom,Bottom vs Middle
2011/12,29,Bnei Sakhnin,H. Petah Tikva,3:0,3,5,16,Middle,Bottom,Bottom vs Middle
2011/12,29,Bnei Yehuda,H. Beer Sheva,5:1,4,8,12,Middle,Bottom,Bottom vs Middle
2011/12,29,Maccabi Haifa,Hapoel Tel Aviv,1:4,3,4,3,Top,Top,Top vs Top
2011/12,30,Maccabi Netanya,M. Tel Aviv,3:0,3,7,5,Middle,Middle,Middle vs Middle
2012/13,3,Hapoel Acre,Bnei Sakhnin,5:1,4,10,11,Middle,Bottom,Bottom vs Middle
2012/13,4,M. Tel Aviv,Kiryat Shmona,4:0,4,3,4,Top,Top,Top vs Top
2012/13,5,FC Ashdod,Maccabi Netanya,3:0,3,2,7,Top,Middle,Middle vs Top
2012/13,7,Hapoel Tel Aviv,Maccabi Haifa,3:0,3,3,12,Top,Bottom,Bottom vs Top
2012/13,9,Bnei Yehuda,Maccabi Netanya,3:0,3,9,8,Middle,Middle,Middle vs Middle
2012/13,10,B. Jerusalem,Hapoel Haifa,3:0,3,6,14,Middle,Bottom,Bottom vs Middle
2012/13,11,Hapoel Tel Aviv,H. Beer Sheva,4:1,3,3,7,Top,Middle,Middle vs Top
2012/13,12,M. Tel Aviv,Bnei Sakhnin,4:0,4,3,12,Top,Bottom,Bottom vs Top
2012/13,12,Hapoel Acre,H. Ramat Gan,0:3,3,8,13,Middle,Bottom,Bottom vs Middle
2012/13,12,Hapoel Haifa,Maccabi Haifa,0:3,3,14,11,Bottom,Bottom,Bottom vs Bottom
2012/13,16,M. Tel Aviv,Hapoel Haifa,6:2,4,1,14,Top,Bottom,Bottom vs Top
2012/13,17,FC Ashdod,Maccabi Haifa,1:4,3,3,6,Top,Middle,Middle vs Top
2012/13,18,Bnei Sakhnin,Hapoel Tel Aviv,0:3,3,10,2,Middle,Top,Middle vs Top
2012/13,18,M. Tel Aviv,H. Beer Sheva,5:0,5,1,9,Top,Middle,Middle vs Top
2012/13,19,Hapoel Haifa,Ramat haSharon,3:0,3,14,6,Bottom,Middle,Bottom vs Middle
2012/13,19,H. Ramat Gan,Maccabi Haifa,0:3,3,12,3,Bottom,Top,Bottom vs Top
2012/13,20,M. Tel Aviv,Hapoel Acre,4:0,4,1,14,Top,Bottom,Bottom vs Top
2012/13,20,Bnei Sakhnin,Ramat haSharon,0:4,4,10,7,Middle,Middle,Middle vs Middle
2012/13,20,Maccabi Haifa,Hapoel Tel Aviv,3:0,3,3,2,Top,Top,Top vs Top
2012/13,21,Hapoel Tel Aviv,Maccabi Netanya,0:3,3,3,10,Top,Middle,Middle vs Top
2012/13,22,Maccabi Haifa,Ramat haSharon,4:0,4,2,4,Top,Top,Top vs Top
2012/13,22,M. Tel Aviv,Hapoel Tel Aviv,4:0,4,1,3,Top,Top,Top vs Top
2012/13,23,H. Ramat Gan,H. Beer Sheva,3:0,3,12,9,Bottom,Middle,Bottom vs Middle
2012/13,23,Hapoel Haifa,B. Jerusalem,3:0,3,13,7,Bottom,Middle,Bottom vs Middle
2012/13,24,Maccabi Haifa,B. Jerusalem,4:1,3,2,7,Top,Middle,Middle vs Top
2012/13,25,Bnei Sakhnin,M. Tel Aviv,0:3,3,11,1,Bottom,Top,Bottom vs Top
2012/13,26,M. Tel Aviv,B. Jerusalem,5:0,5,1,7,Top,Middle,Middle vs Top
2013/14,2,Kiryat Shmona,Ramat haSharon,4:1,3,11,12,Bottom,Bottom,Bottom vs Bottom
2013/14,3,Maccabi Haifa,M. Tel Aviv,0:3,3,6,2,Middle,Top,Middle vs Top
2013/14,4,FC Ashdod,Ramat haSharon,3:0,3,8,14,Middle,Bottom,Bottom vs Middle
2013/14,4,Hapoel Haifa,Hapoel Tel Aviv,0:4,4,5,7,Middle,Middle,Middle vs Middle
2013/14,4,M. Tel Aviv,Kiryat Shmona,3:0,3,1,6,Top,Middle,Middle vs Top
2013/14,6,Bnei Sakhnin,FC Ashdod,3:0,3,4,6,Top,Middle,Middle vs Top
2013/14,6,M. Petah Tikva,Maccabi Haifa,0:3,3,11,10,Bottom,Middle,Bottom vs Middle
2013/14,7,Ramat haSharon,Hapoel Tel Aviv,0:5,5,14,8,Bottom,Middle,Bottom vs Middle
2013/14,7,M. Tel Aviv,Bnei Sakhnin,4:1,3,1,3,Top,Top,Top vs Top
2013/14,9,Bnei Sakhnin,H. Beer Sheva,0:4,4,6,2,Middle,Top,Middle vs Top
2013/14,10,Hapoel Raanana,FC Ashdod,3:0,3,5,8,Middle,Middle,Middle vs Middle
2013/14,10,B. Jerusalem,Kiryat Shmona,1:4,3,6,9,Middle,Middle,Middle vs Middle
2013/14,11,H. Beer Sheva,M. Petah Tikva,3:0,3,2,12,Top,Bottom,Bottom vs Top
2013/14,14,Hapoel Haifa,Ramat haSharon,3:0,3,8,12,Middle,Bottom,Bottom vs Middle
2013/14,14,Bnei Sakhnin,Hapoel Tel Aviv,4:0,4,3,5,Top,Middle,Middle vs Top
2013/14,14,M. Tel Aviv,Hapoel Acre,5:0,5,1,9,Top,Middle,Middle vs Top
2013/14,17,Hapoel Tel Aviv,Hapoel Haifa,4:0,4,7,6,Middle,Middle,Middle vs Middle
2013/14,18,Hapoel Raanana,Hapoel Tel Aviv,1:4,3,10,6,Middle,Middle,Middle vs Middle
2013/14,19,Ramat haSharon,M. Tel Aviv,0:3,3,12,1,Bottom,Top,Bottom vs Top
2013/14,20,Hapoel Tel Aviv,Ramat haSharon,3:0,3,3,12,Top,Bottom,Bottom vs Top
2013/14,23,Ramat haSharon,H. Beer Sheva,0:4,4,13,2,Bottom,Top,Bottom vs Top
2014/15,1,Hapoel Raanana,H. Petah Tikva,4:0,4,1,14,Top,Bottom,Bottom vs Top
2014/15,1,M. Petah Tikva,M. Tel Aviv,0:3,3,13,3,Bottom,Top,Bottom vs Top
2014/15,2,Kiryat Shmona,Hapoel Tel Aviv,3:0,3,9,4,Middle,Top,Middle vs Top
2014/15,3,Hapoel Tel Aviv,Hapoel Haifa,3:0,3,11,11,Bottom,Bottom,Bottom vs Bottom
2014/15,4,Kiryat Shmona,M. Petah Tikva,3:0,3,1,8,Top,Middle,Middle vs Top
2014/15,4,H. Petah Tikva,Hapoel Acre,4:1,3,14,10,Bottom,Middle,Bottom vs Middle
2014/15,5,M. Petah Tikva,H. Beer Sheva,0:4,4,10,2,Middle,Top,Middle vs Top
2014/15,5,Hapoel Acre,M. Tel Aviv,1:4,3,12,3,Bottom,Top,Bottom vs Top
2014/15,6,Bnei Sakhnin,Kiryat Shmona,1:4,3,13,1,Bottom,Top,Bottom vs Top
2014/15,6,M. Tel Aviv,FC Ashdod,5:2,3,3,6,Top,Middle,Middle vs Top
