season,season_year,week_start,weekly_matches,active_weekdays
2019/20,2019,2019-12-16,1,1
2019/20,2019,2019-12-23,13,4
2019/20,2019,2019-12-30,6,3
2019/20,2019,2020-01-06,8,3
2019/20,2019,2020-01-13,5,3
2019/20,2019,2020-01-20,9,3
2019/20,2019,2020-01-27,8,4
2019/20,2019,2020-02-03,13,5
2019/20,2019,2020-02-10,7,3
2019/20,2019,2020-02-17,7,3
2019/20,2019,2020-02-24,8,3
2020/21,2020,2020-08-24,7,2
2020/21,2020,2020-09-07,5,2
2020/21,2020,2020-09-14,1,1
2020/21,2020,2020-09-21,2,1
2020/21,2020,2020-10-19,1,1
2020/21,2020,2020-10-26,5,2
2020/21,2020,2020-11-02,9,4
2020/21,2020,2020-11-09,1,1
2020/21,2020,2020-11-16,7,2
2020/21,2020,2020-11-23,11,4
2020/21,2020,2020-11-30,7,3
2020/21,2020,2020-12-07,9,5
2020/21,2020,2020-12-14,10,5
2020/21,2020,2020-12-21,13,6
2020/21,2020,2020-12-28,7,3
2020/21,2020,2021-01-04,8,4
2020/21,2020,2021-01-18,6,2
2020/21,2020,2021-01-25,11,6
2020/21,2020,2021-02-01,8,3
2020/21,2020,2021-02-08,10,5
2020/21,2020,2021-02-15,5,2
2020/21,2020,2021-02-22,8,3
2020/21,2020,2021-03-01,13,6
2020/21,2020,2021-03-08,11,5
2020/21,2020,2021-03-15,6,1
2020/21,2020,2021-03-22,1,1
2021/22,2021,2021-08-23,6,2
2021/22,2021,2021-08-30,1,1
2021/22,2021,2021-09-06,6,2
2021/22,2021,2021-09-13,8,3
2021/22,2021,2021-09-20,7,2
2021/22,2021,2021-09-27,7,2
2021/22,2021,2021-10-11,6,2
2021/22,2021,2021-10-18,6,3
2021/22,2021,2021-10-25,8,3
2021/22,2021,2021-11-01,8,3
2021/22,2021,2021-11-22,7,2
2021/22,2021,2021-11-29,13,5
2021/22,2021,2021-12-06,6,3
2021/22,2021,2021-12-13,2,1
2021/22,2021,2021-12-20,13,4
2021/22,2021,2021-12-27,7,3
2021/22,2021,2022-01-03,7,3
2021/22,2021,2022-01-10,6,3
2021/22,2021,2022-01-17,8,3
2021/22,2021,2022-01-24,7,3
2021/22,2021,2022-01-31,7,3
2021/22,2021,2022-02-07,7,3
2021/22,2021,2022-02-14,7,3
2021/22,2021,2022-02-21,7,3
2021/22,2021,2022-02-28,7,3
2021/22,2021,2022-03-07,7,3
2021/22,2021,2022-03-14,1,1
2022/23,2022,2022-08-15,4,2
2022/23,2022,2022-08-22,7,3
2022/23,2022,2022-08-29,9,5
2022/23,2022,2022-09-05,7,3
2022/23,2022,2022-09-12,8,3
2022/23,2022,2022-09-26,6,2
2022/23,2022,2022-10-03,5,2
2022/23,2022,2022-10-10,7,2
2022/23,2022,2022-10-17,9,3
2022/23,2022,2022-10-24,7,3
2022/23,2022,2022-10-31,8,3
2022/23,2022,2022-11-07,13,4
2022/23,2022,2022-11-14,1,1
2022/23,2022,2022-12-12,4,1
2022/23,2022,2022-12-19,9,3
2022/23,2022,2022-12-26,8,3
2022/23,2022,2023-01-02,6,2
2022/23,2022,2023-01-09,6,3
2022/23,2022,2023-01-16,7,3
2022/23,2022,2023-01-23,7,3
2022/23,2022,2023-01-30,7,3
2022/23,2022,2023-02-06,8,3
2022/23,2022,2023-02-13,7,3
2022/23,2022,2023-02-20,7,3
2022/23,2022,2023-02-27,7,3
2022/23,2022,2023-03-06,7,3
2022/23,2022,2023-03-13,1,1
2023/24,2023,2023-08-21,5,2
2023/24,2023,2023-08-28,7,3
2023/24,2023,2023-09-04,1,1
2023/24,2023,2023-09-11,5,1
2023/24,2023,2023-09-18,7,2
2023/24,2023,2023-09-25,8,4
2023/24,2023,2023-10-02,1,1
2023/24,2023,2023-11-20,1,1
2023/24,2023,2023-11-27,7,2
2023/24,2023,2023-12-04,12,4
2023/24,2023,2023-12-11,8,3
2023/24,2023,2023-12-18,14,4
2023/24,2023,2023-12-25,14,4
2023/24,2023,2024-01-01,12,5
2023/24,2023,2024-01-08,10,4
2023/24,2023,2024-01-15,13,4
2023/24,2023,2024-01-22,1,1
2023/24,2023,2024-01-29,13,4
2023/24,2023,2024-02-05,7,3
2023/24,2023,2024-02-12,7,3
2023/24,2023,2024-02-19,7,3
2023/24,2023,2024-02-26,6,3
