season,round,leader,leader_points,second,second_points,gap
2019/20,5,M. Tel Aviv,13,H. Beer Sheva,11,2
2019/20,6,H. Beer Sheva,14,M. Tel Aviv,14,0
2019/20,7,H. Beer Sheva,17,M. Tel Aviv,17,0
2019/20,8,M. Tel Aviv,20,Maccabi Haifa,17,3
2019/20,9,M. Tel Aviv,23,Maccabi Haifa,20,3
2019/20,10,M. Tel Aviv,26,Maccabi Haifa,23,3
2019/20,11,M. Tel Aviv,29,Maccabi Haifa,26,3
2019/20,12,M. Tel Aviv,32,Maccabi Haifa,27,5
2019/20,13,M. Tel Aviv,33,Maccabi Haifa,30,3
2019/20,14,M. Tel Aviv,34,Maccabi Haifa,31,3
2019/20,15,M. Tel Aviv,37,Maccabi Haifa,34,3
2019/20,16,M. Tel Aviv,40,Maccabi Haifa,37,3
2019/20,17,M. Tel Aviv,43,Maccabi Haifa,37,6
2019/20,18,M. Tel Aviv,44,Maccabi Haifa,40,4
2019/20,19,M. Tel Aviv,47,Maccabi Haifa,43,4
2019/20,20,M. Tel Aviv,50,Maccabi Haifa,46,4
2019/20,21,M. Tel Aviv,51,Maccabi Haifa,46,5
2019/20,22,M. Tel Aviv,54,Maccabi Haifa,49,5
2019/20,23,M. Tel Aviv,55,Maccabi Haifa,49,6
2019/20,24,M. Tel Aviv,58,Maccabi Haifa,52,6
2019/20,25,M. Tel Aviv,61,Maccabi Haifa,55,6
2019/20,26,M. Tel Aviv,64,Maccabi Haifa,58,6
2020/21,1,Bnei Yehuda,3,Kiryat Shmona,3,0
2020/21,2,B. Jerusalem,6,Maccabi Haifa,6,0
2020/21,3,Maccabi Haifa,9,B. Jerusalem,9,0
2020/21,4,Maccabi Haifa,10,B. Jerusalem,10,0
2020/21,5,M. Petah Tikva,12,Maccabi Haifa,10,2
2020/21,6,Maccabi Haifa,13,M. Petah Tikva,12,1
2020/21,7,Kiryat Shmona,14,Maccabi Haifa,13,1
2020/21,8,Maccabi Haifa,16,M. Petah Tikva,16,0
2020/21,9,Maccabi Haifa,19,M. Petah Tikva,19,0
2020/21,10,Maccabi Haifa,22,M. Petah Tikva,19,3
2020/21,11,Maccabi Haifa,25,FC Ashdod,19,6
2020/21,12,Maccabi Haifa,28,M. Petah Tikva,22,6
2020/21,13,Maccabi Haifa,31,M. Tel Aviv,23,8
2020/21,14,Maccabi Haifa,34,M. Tel Aviv,26,8
2020/21,15,Maccabi Haifa,35,M. Tel Aviv,27,8
2020/21,16,Maccabi Haifa,38,M. Tel Aviv,30,8
2020/21,17,Maccabi Haifa,38,M. Tel Aviv,33,5
2020/21,18,Maccabi Haifa,41,M. Tel Aviv,36,5
2020/21,19,Maccabi Haifa,41,M. Tel Aviv,39,2
2020/21,20,Maccabi Haifa,44,M. Tel Aviv,42,2
