season,round,leader_points,num_contenders,contender_teams
2010/11,26,60,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,27,63,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,28,66,2,"Maccabi Haifa, Hapoel Tel Aviv"
2010/11,29,69,1,Maccabi Haifa
2010/11,30,70,2,"Maccabi Haifa, Hapoel Tel Aviv"
2011/12,1,3,15,"Maccabi Haifa, H Rishon leZion, M. Tel Aviv, FC Ashdod, Hapoel Acre, Kiryat Shmona, B. Jerusalem, Hapoel Tel Aviv, Hapoel Haifa, H. Beer Sheva, Bnei Yehuda, Ramat haSharon, Maccabi Netanya, M. Petah Tikva, Bnei Sakhnin"
2011/12,2,6,15,"M. Tel Aviv, H Rishon leZion, Maccabi Haifa, B. Jerusalem, Hapoel Acre, Maccabi Netanya, Kiryat Shmona, M. Petah Tikva, FC Ashdod, Hapoel Tel Aviv, Bnei Sakhnin, Bnei Yehuda, H. Beer Sheva, Hapoel Haifa, Ramat haSharon"
2011/12,3,9,12,"M. Tel Aviv, Hapoel Acre, H Rishon leZion, M. Petah Tikva, FC Ashdod, Hapoel Tel Aviv, Bnei Sakhnin, Maccabi Haifa, B. Jerusalem, Bnei Yehuda, Kiryat Shmona, Maccabi Netanya"
2011/12,4,12,9,"M. Tel Aviv, Hapoel Tel Aviv, Maccabi Haifa, B. Jerusalem, M. Petah Tikva, FC Ashdod, Hapoel Acre, H Rishon leZion, Maccabi Netanya"
2011/12,5,12,13,"M. Tel Aviv, Hapoel Tel Aviv, M. Petah Tikva, Hapoel Acre, B. Jerusalem, Bnei Sakhnin, Maccabi Haifa, Bnei Yehuda, H Rishon leZion, Maccabi Netanya, FC Ashdod, Kiryat Shmona, Ramat haSharon"
2011/12,6,15,7,"M. Tel Aviv, Hapoel Tel Aviv, M. Petah Tikva, Maccabi Haifa, Bnei Yehuda, Maccabi Netanya, Hapoel Acre"
2011/12,7,16,10,"M. Tel Aviv, Bnei Yehuda, Maccabi Netanya, Maccabi Haifa, Hapoel Tel Aviv, Bnei Sakhnin, M. Petah Tikva, Hapoel Acre, Kiryat Shmona, FC Ashdod"
2011/12,8,16,10,"M. Tel Aviv, Hapoel Tel Aviv, Bnei Yehuda, Maccabi Netanya, Kiryat Shmona, Maccabi Haifa, Bnei Sakhnin, Hapoel Acre, FC Ashdod, M. Petah Tikva"
2011/12,9,19,8,"M. Tel Aviv, Maccabi Netanya, Kiryat Shmona, Bnei Sakhnin, Hapoel Tel Aviv, Hapoel Acre, FC Ashdod, Bnei Yehuda"
