season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2007/08,2007,B. Jerusalem,H. Kfar Saba,4,0,4,H,3,0
2007/08,2007,Bnei Sakhnin,M. Tel Aviv,3,2,1,H,3,0
2007/08,2007,Hapoel Tel Aviv,Kiryat Shmona,0,1,-1,A,0,3
2007/08,2007,FC Ashdod,M. Tel Aviv,0,0,0,D,1,1
2007/08,2007,Maccabi Herzlya,Kiryat Shmona,1,3,-2,A,0,3
2007/08,2007,H. Kfar Saba,M. Petah Tikva,0,0,0,D,1,1
2007/08,2007,Bnei Sakhnin,Maccabi Haifa,1,1,0,D,1,1
2007/08,2007,Hapoel Tel Aviv,Maccabi Netanya,0,1,-1,A,0,3
2007/08,2007,Bnei Yehuda,B. Jerusalem,0,3,-3,A,0,3
2007/08,2007,Kiryat Shmona,Bnei Sakhnin,0,0,0,D,1,1
2007/08,2007,Bnei Yehuda,H. Kfar Saba,0,2,-2,A,0,3
2007/08,2007,Maccabi Netanya,Maccabi Herzlya,0,0,0,D,1,1
2007/08,2007,Maccabi Haifa,FC Ashdod,3,0,3,H,3,0
2007/08,2007,M. Tel Aviv,M. Petah Tikva,2,1,1,H,3,0
2007/08,2007,B. Jerusalem,Hapoel Tel Aviv,1,0,1,H,3,0
2007/08,2007,Bnei Sakhnin,Maccabi Netanya,0,0,0,D,1,1
2007/08,2007,H. Kfar Saba,M. Tel Aviv,0,3,-3,A,0,3
2007/08,2007,Hapoel Tel Aviv,Bnei Yehuda,1,0,1,H,3,0
2007/08,2007,FC Ashdod,Kiryat Shmona,0,0,0,D,1,1
2007/08,2007,Maccabi Herzlya,B. Jerusalem,1,1,0,D,1,1
2007/08,2007,M. Petah Tikva,Maccabi Haifa,1,1,0,D,1,1
2007/08,2007,Hapoel Tel Aviv,H. Kfar Saba,1,2,-1,A,0,3
2007/08,2007,Kiryat Shmona,M. Petah Tikva,2,1,1,H,3,0
2007/08,2007,Maccabi Netanya,FC Ashdod,3,0,3,H,3,0
2007/08,2007,Bnei Yehuda,Maccabi Herzlya,0,1,-1,A,0,3
2007/08,2007,B. Jerusalem,Bnei Sakhnin,0,1,-1,A,0,3
2007/08,2007,Maccabi Haifa,M. Tel Aviv,3,1,2,H,3,0
2007/08,2007,Bnei Sakhnin,Bnei Yehuda,0,0,0,D,1,1
2007/08,2007,Maccabi Herzlya,Hapoel Tel Aviv,2,3,-1,A,0,3
2007/08,2007,M. Petah Tikva,Maccabi Netanya,0,0,0,D,1,1
