round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
31,31,186,Maccabi Haifa,1:0,Hapoel Tel Aviv,2008/09,2008,18/05/09,8:50 PM,2009-05-18,Monday,יום שני,0
32,32,187,Maccabi Netanya,0:2,Maccabi Haifa,2008/09,2008,23/05/09,6:40 PM,2009-05-23,Saturday,שבת,5
32,32,188,B. Jerusalem,3:0,Bnei Sakhnin,2008/09,2008,23/05/09,6:40 PM,2009-05-23,Saturday,שבת,5
32,32,189,Bnei Yehuda,0:0,Kiryat Shmona,2008/09,2008,23/05/09,6:40 PM,2009-05-23,Saturday,שבת,5
32,32,190,M. Petah Tikva,0:3,M. Tel Aviv,2008/09,2008,23/05/09,6:40 PM,2009-05-23,Saturday,שבת,5
32,32,191,FC Ashdod,1:0,H. Petah Tikva,2008/09,2008,23/05/09,6:40 PM,2009-05-23,Saturday,שבת,5
32,32,192,Hapoel Tel Aviv,3:2,Hakoah Amidar,2008/09,2008,25/05/09,8:50 PM,2009-05-25,Monday,יום שני,0
33,33,193,M. Tel Aviv,1:0,FC Ashdod,2008/09,2008,30/05/09,3:00 PM,2009-05-30,Saturday,שבת,5
33,33,194,Kiryat Shmona,1:2,M. Petah Tikva,2008/09,2008,30/05/09,7:15 PM,2009-05-30,Saturday,שבת,5
33,33,195,Bnei Sakhnin,3:1,Bnei Yehuda,2008/09,2008,30/05/09,7:15 PM,2009-05-30,Saturday,שבת,5
33,33,196,Hapoel Tel Aviv,1:2,Maccabi Netanya,2008/09,2008,30/05/09,7:15 PM,2009-05-30,Saturday,שבת,5
33,33,197,Hakoah Amidar,1:0,H. Petah Tikva,2008/09,2008,30/05/09,7:17 PM,2009-05-30,Saturday,שבת,5
