round,home,score,away,season,season_year
148,H. Kfar Saba,0:4,B. Jerusalem,2007/08,2007
149,M. Petah Tikva,0:1,Maccabi Netanya,2007/08,2007
150,M. Tel Aviv,2:0,FC Ashdod,2007/08,2007
151,Bnei Sakhnin,1:0,Maccabi Haifa,2007/08,2007
152,Kiryat Shmona,1:0,M. Petah Tikva,2007/08,2007
153,Maccabi Netanya,1:1,H. Kfar Saba,2007/08,2007
154,Bnei Yehuda,2:0,Maccabi Herzlya,2007/08,2007
155,FC Ashdod,2:1,Hapoel Tel Aviv,2007/08,2007
156,B. Jerusalem,1:1,M. Tel Aviv,2007/08,2007
157,Maccabi Herzlya,2:0,FC Ashdod,2007/08,2007
158,H. Kfar Saba,1:3,Kiryat Shmona,2007/08,2007
159,Maccabi Haifa,0:1,Bnei Yehuda,2007/08,2007
160,M. Tel Aviv,0:0,Maccabi Netanya,2007/08,2007
161,M. Petah Tikva,0:4,Bnei Sakhnin,2007/08,2007
162,Hapoel Tel Aviv,3:1,B. Jerusalem,2007/08,2007
163,Kiryat Shmona,3:1,M. Tel Aviv,2007/08,2007
164,Maccabi Haifa,0:0,M. Petah Tikva,2007/08,2007
165,Bnei Sakhnin,2:0,H. Kfar Saba,2007/08,2007
166,Bnei Yehuda,2:0,FC Ashdod,2007/08,2007
167,Maccabi Netanya,3:0,Hapoel Tel Aviv,2007/08,2007
168,B. Jerusalem,3:1,Maccabi Herzlya,2007/08,2007
169,M. Tel Aviv,3:1,Bnei Sakhnin,2007/08,2007
170,H. Kfar Saba,1:0,Maccabi Haifa,2007/08,2007
171,Maccabi Herzlya,0:2,Maccabi Netanya,2007/08,2007
172,M. Petah Tikva,0:1,Bnei Yehuda,2007/08,2007
173,Hapoel Tel Aviv,2:0,Kiryat Shmona,2007/08,2007
174,FC Ashdod,1:0,B. Jerusalem,2007/08,2007
175,M. Petah Tikva,1:0,H. Kfar Saba,2007/08,2007
176,Bnei Sakhnin,0:1,Hapoel Tel Aviv,2007/08,2007
177,Kiryat Shmona,2:2,Maccabi Herzlya,2007/08,2007
178,Maccabi Netanya,1:0,FC Ashdod,2007/08,2007
179,B. Jerusalem,0:1,Bnei Yehuda,2007/08,2007
180,Maccabi Haifa,3:3,M. Tel Aviv,2007/08,2007
181,Bnei Yehuda,3:0,H. Kfar Saba,2007/08,2007
182,FC Ashdod,2:0,Kiryat Shmona,2007/08,2007
183,B. Jerusalem,3:0,Maccabi Netanya,2007/08,2007
184,Maccabi Herzlya,0:2,Bnei Sakhnin,2007/08,2007
185,M. Tel Aviv,2:1,M. Petah Tikva,2007/08,2007
186,Hapoel Tel Aviv,1:1,Maccabi Haifa,2007/08,2007
187,Bnei Sakhnin,1:2,FC Ashdod,2007/08,2007
188,H. Kfar Saba,2:3,M. Tel Aviv,2007/08,2007
189,Kiryat Shmona,3:2,B. Jerusalem,2007/08,2007
