season,date,day_of_week,attendance,competition_stage,source_file,home_team,away_team
2009/10,09/01/10,Saturday,300.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Bnei Yehuda Tel Aviv
2009/10,09/01/10,Saturday,8000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Hapoel Raanana
2009/10,09/01/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Hapoel Tel Aviv
2009/10,09/01/10,Saturday,6000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Hapoel Petah Tikva
2009/10,10/01/10,Sunday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Hapoel Acre
2009/10,11/01/10,Monday,8000.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Ihud Bnei Sakhnin
2009/10,16/01/10,Saturday,6000.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Maccabi Petah Tikva
2009/10,16/01/10,Saturday,6000.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv
2009/10,16/01/10,Saturday,150.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,FC Ashdod
2009/10,16/01/10,Saturday,3500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Maccabi Ahi Nazareth
2009/10,16/01/10,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Ihud Bnei Sakhnin
2009/10,16/01/10,Saturday,1000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Maccabi Netanya
2009/10,16/01/10,Saturday,2500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Maccabi Haifa
2009/10,16/01/10,Saturday,9500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Hapoel Beer Sheva
2009/10,23/01/10,Saturday,700.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Hapoel Raanana
2009/10,23/01/10,Saturday,3500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Beitar Jerusalem
2009/10,23/01/10,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Hapoel Acre
2009/10,23/01/10,Saturday,1000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Hapoel Ramat Gan
2009/10,23/01/10,Saturday,7000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Hapoel Haifa
2009/10,24/01/10,Sunday,2500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Maccabi Petah Tikva
2009/10,25/01/10,Monday,14000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Hapoel Tel Aviv
2009/10,01/02/10,Monday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Maccabi Haifa
2009/10,30/01/10,Saturday,4500.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Hapoel Beer Sheva
2009/10,30/01/10,Saturday,1000.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Hapoel Petah Tikva
2009/10,30/01/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Maccabi Tel Aviv
2009/10,30/01/10,Saturday,4000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Ihud Bnei Sakhnin
2009/10,30/01/10,Saturday,350.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,FC Ashdod
2009/10,30/01/10,Saturday,10500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Maccabi Netanya
2009/10,31/01/10,Sunday,300.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Maccabi Ahi Nazareth
2009/10,06/02/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Beitar Jerusalem
2009/10,06/02/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Hapoel Acre
2009/10,06/02/10,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Hapoel Ramat Gan
2009/10,06/02/10,Saturday,7000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Hapoel Beer Sheva
2009/10,06/02/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Maccabi Petah Tikva
2009/10,06/02/10,Saturday,7000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Hapoel Raanana
2009/10,07/02/10,Sunday,3500.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Hapoel Tel Aviv
2009/10,07/02/10,Sunday,1200.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Hapoel Haifa
2009/10,13/02/10,Saturday,200.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Hapoel Petah Tikva
2009/10,13/02/10,Saturday,3500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Maccabi Netanya
2009/10,13/02/10,Saturday,500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Ihud Bnei Sakhnin
2009/10,13/02/10,Saturday,4500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Maccabi Tel Aviv
2009/10,13/02/10,Saturday,10000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Maccabi Ahi Nazareth
2009/10,13/02/10,Saturday,800.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,FC Ashdod
2009/10,14/02/10,Sunday,14000.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Maccabi Haifa
2009/10,15/02/10,Monday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Bnei Yehuda Tel Aviv
2009/10,20/02/10,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Hapoel Acre
2009/10,20/02/10,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Hapoel Beer Sheva
2009/10,20/02/10,Saturday,4500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Beitar Jerusalem
2009/10,20/02/10,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Hapoel Raanana
2009/10,20/02/10,Saturday,300.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Maccabi Petah Tikva
2009/10,20/02/10,Saturday,5000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Maccabi Haifa
2009/10,21/02/10,Sunday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Hapoel Ramat Gan
2009/10,22/02/10,Monday,15000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Hapoel Tel Aviv
2009/10,27/02/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Maccabi Netanya
2009/10,27/02/10,Saturday,700.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Hapoel Haifa
2009/10,27/02/10,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Maccabi Ahi Nazareth
2009/10,27/02/10,Saturday,500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Bnei Yehuda Tel Aviv
2009/10,27/02/10,Saturday,500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Hapoel Petah Tikva
2009/10,27/02/10,Saturday,8500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Ihud Bnei Sakhnin
2009/10,27/02/10,Saturday,7000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,FC Ashdod
2009/10,27/02/10,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Maccabi Tel Aviv
2009/10,06/03/10,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Maccabi Netanya
2009/10,06/03/10,Saturday,1400.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Beitar Jerusalem
2009/10,06/03/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Hapoel Raanana
2009/10,06/03/10,Saturday,4000.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Maccabi Petah Tikva
2009/10,06/03/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Maccabi Haifa
2009/10,06/03/10,Saturday,9000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Hapoel Beer Sheva
2009/10,07/03/10,Sunday,800.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Hapoel Ramat Gan
2009/10,08/03/10,Monday,5000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Hapoel Tel Aviv
2009/10,13/03/10,Saturday,4000.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,FC Ashdod
2009/10,13/03/10,Saturday,500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Hapoel Acre
2009/10,13/03/10,Saturday,800.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Hapoel Haifa
2009/10,13/03/10,Saturday,10000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv
2009/10,13/03/10,Saturday,800.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Maccabi Ahi Nazareth
2009/10,13/03/10,Saturday,5000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Hapoel Petah Tikva
2009/10,14/03/10,Sunday,5500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Ihud Bnei Sakhnin
2009/10,15/03/10,Monday,13000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Maccabi Tel Aviv
