season,stage,round,team,points,position,goal_diff
2016/17,championship_playoff,31,Bnei Sakhnin,45,5,-6
2016/17,championship_playoff,31,Maccabi Haifa,44,6,-1
2016/17,championship_playoff,32,H. Beer Sheva,77,1,52
2016/17,championship_playoff,32,M. Tel Aviv,69,2,35
2016/17,championship_playoff,32,B. Jerusalem,50,3,9
2016/17,championship_playoff,32,M. Petah Tikva,48,4,6
2016/17,championship_playoff,32,Bnei Sakhnin,45,5,-8
2016/17,championship_playoff,32,Maccabi Haifa,44,6,-2
2016/17,championship_playoff,33,H. Beer Sheva,80,1,53
2016/17,championship_playoff,33,M. Tel Aviv,69,2,34
2016/17,championship_playoff,33,B. Jerusalem,53,3,11
2016/17,championship_playoff,33,M. Petah Tikva,51,4,7
2016/17,championship_playoff,33,Bnei Sakhnin,45,5,-9
2016/17,championship_playoff,33,Maccabi Haifa,44,6,-4
2016/17,championship_playoff,34,H. Beer Sheva,81,1,53
2016/17,championship_playoff,34,M. Tel Aviv,72,2,36
2016/17,championship_playoff,34,B. Jerusalem,56,3,15
2016/17,championship_playoff,34,M. Petah Tikva,52,4,7
2016/17,championship_playoff,34,Bnei Sakhnin,45,5,-13
2016/17,championship_playoff,34,Maccabi Haifa,44,6,-6
2016/17,championship_playoff,35,H. Beer Sheva,82,1,53
2016/17,championship_playoff,35,M. Tel Aviv,72,2,35
2016/17,championship_playoff,35,B. Jerusalem,57,3,15
2016/17,championship_playoff,35,M. Petah Tikva,55,4,8
2016/17,championship_playoff,35,Bnei Sakhnin,48,5,-12
2016/17,championship_playoff,35,Maccabi Haifa,44,6,-7
2016/17,championship_playoff,36,H. Beer Sheva,85,1,55
2016/17,championship_playoff,36,M. Tel Aviv,72,2,33
2016/17,championship_playoff,36,B. Jerusalem,60,3,17
2016/17,championship_playoff,36,M. Petah Tikva,56,4,8
2016/17,championship_playoff,36,Bnei Sakhnin,48,5,-14
2016/17,championship_playoff,36,Maccabi Haifa,45,6,-7
2017/18,championship_playoff,27,H. Beer Sheva,60,1,26
2017/18,championship_playoff,27,B. Jerusalem,59,2,32
2017/18,championship_playoff,27,M. Tel Aviv,55,3,23
2017/18,championship_playoff,27,Hapoel Haifa,55,4,16
2017/18,championship_playoff,27,Maccabi Netanya,45,5,12
2017/18,championship_playoff,27,Bnei Yehuda,40,6,5
2017/18,championship_playoff,28,H. Beer Sheva,63,1,28
2017/18,championship_playoff,28,B. Jerusalem,59,2,30
2017/18,championship_playoff,28,M. Tel Aviv,55,3,20
2017/18,championship_playoff,28,Hapoel Haifa,55,4,13
2017/18,championship_playoff,28,Maccabi Netanya,48,5,15
2017/18,championship_playoff,28,Bnei Yehuda,43,6,8
2017/18,championship_playoff,29,H. Beer Sheva,66,1,29
2017/18,championship_playoff,29,B. Jerusalem,60,2,30
2017/18,championship_playoff,29,Hapoel Haifa,56,3,13
2017/18,championship_playoff,29,M. Tel Aviv,55,4,19
2017/18,championship_playoff,29,Maccabi Netanya,49,5,15
2017/18,championship_playoff,29,Bnei Yehuda,44,6,8
2017/18,championship_playoff,30,H. Beer Sheva,67,1,29
2017/18,championship_playoff,30,B. Jerusalem,63,2,31
2017/18,championship_playoff,30,Hapoel Haifa,57,3,13
2017/18,championship_playoff,30,M. Tel Aviv,55,4,18
2017/18,championship_playoff,30,Maccabi Netanya,52,5,17
2017/18,championship_playoff,30,Bnei Yehuda,44,6,6
2017/18,championship_playoff,31,H. Beer Sheva,70,1,33
2017/18,championship_playoff,31,B. Jerusalem,66,2,32
2017/18,championship_playoff,31,M. Tel Aviv,58,3,20
2017/18,championship_playoff,31,Hapoel Haifa,57,4,12
2017/18,championship_playoff,31,Maccabi Netanya,52,5,13
2017/18,championship_playoff,31,Bnei Yehuda,44,6,4
2017/18,championship_playoff,32,H. Beer Sheva,71,1,33
2017/18,championship_playoff,32,B. Jerusalem,66,2,29
2017/18,championship_playoff,32,M. Tel Aviv,59,3,20
2017/18,championship_playoff,32,Hapoel Haifa,58,4,12
2017/18,championship_playoff,32,Maccabi Netanya,55,5,16
2017/18,championship_playoff,32,Bnei Yehuda,45,6,4
2017/18,championship_playoff,33,H. Beer Sheva,74,1,36
2017/18,championship_playoff,33,B. Jerusalem,66,2,26
2017/18,championship_playoff,33,M. Tel Aviv,62,3,22
2017/18,championship_playoff,33,Hapoel Haifa,61,4,13
2017/18,championship_playoff,33,Maccabi Netanya,55,5,14
2017/18,championship_playoff,33,Bnei Yehuda,45,6,3
